TOW [0.001 s],WNc [w],Type,AutoBase,Flag2D,Error,Latitude [rad],Longitude [rad],Height [m],Undulation [m],Vn [m/s],Ve [m/s],Vu [m/s],COG [°],RxClkBias [ms],RxClkDrift [ppm],TimeSystem,Datum,NrSV,LC,FC,I,AI,PA,DiffCorrType,ReferenceID,MeanCorrAge [0.01 s],SignalInfo,RAIM integrity flag,Integrity failed,Storm Flag,Accuracy limit exceeded,NrBases,SeedAge [s],SeedType,Latency [0.0001 s],HAccuracy [0.01 m],VAccuracy [0.01 m],Misc,Baseline,Phase center variation,SIGIL,RTCMV,PPVTAge,ARPMarkerOffset
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
384548500,2355,1,0,0,0,0.887346009653,0.076633119229,115.867,47.352,0.001,0.004,-0.004,NaN,-0.020157,-0.046,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,95,257,401,96,0,0,0,0,2,1
384548600,2355,1,0,0,0,0.887346009319,0.076633119357,115.866,47.352,-0.004,0.004,-0.004,NaN,-0.020162,-0.046,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,99,257,401,80,0,0,0,0,1,1
384548700,2355,1,0,0,0,0.887346009280,0.076633119511,115.869,47.352,-0.007,0.003,-0.005,NaN,-0.020167,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,84,258,401,80,0,0,0,0,1,1
384548800,2355,1,0,0,0,0.887346009496,0.076633119661,115.868,47.352,-0.004,0.002,-0.003,NaN,-0.020171,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,102,258,401,80,0,0,0,0,1,1
384548900,2355,1,0,0,0,0.887346009543,0.076633119664,115.866,47.352,-0.001,0.001,-0.004,NaN,-0.020176,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,81,258,402,80,0,0,0,0,1,1
384549000,2355,1,0,0,0,0.887346009553,0.076633119726,115.867,47.352,-0.001,-0.002,-0.006,NaN,-0.020180,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,105,258,402,96,0,0,0,0,2,1
384549100,2355,1,0,0,0,0.887346009428,0.076633119375,115.867,47.352,-0.002,-0.002,-0.006,NaN,-0.020185,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,86,259,403,80,0,0,0,0,1,1
384549200,2355,1,0,0,0,0.887346009396,0.076633119341,115.868,47.352,-0.003,-0.001,-0.005,NaN,-0.020189,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,94,259,403,80,0,0,0,0,1,1
384549300,2355,1,0,0,0,0.887346009620,0.076633119212,115.869,47.352,-0.000,0.001,-0.002,NaN,-0.020194,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,85,259,404,80,0,0,0,0,1,1
384549400,2355,1,0,0,0,0.887346010129,0.076633118948,115.871,47.352,0.005,0.001,0.001,NaN,-0.020198,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,103,259,404,80,0,0,0,0,1,1
384549500,2355,1,0,0,0,0.887346009834,0.076633118589,115.870,47.352,0.003,-0.000,-0.000,NaN,-0.020203,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,91,259,405,96,0,0,0,0,2,1
384549600,2355,1,0,0,0,0.887346009628,0.076633118533,115.870,47.352,-0.002,-0.002,-0.002,NaN,-0.020207,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,101,259,405,80,0,0,0,0,1,1
384549700,2355,1,0,0,0,0.887346009657,0.076633118751,115.872,47.352,-0.003,-0.001,-0.000,NaN,-0.020212,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,84,259,406,80,0,0,0,0,1,1
384549800,2355,1,0,0,0,0.887346009567,0.076633118783,115.873,47.352,-0.003,0.002,0.002,NaN,-0.020216,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,104,259,406,80,0,0,0,0,1,1
384549900,2355,1,0,0,0,0.887346009963,0.076633118953,115.873,47.352,0.001,0.004,0.002,NaN,-0.020221,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,78,259,405,80,0,0,0,0,1,1
384550000,2355,1,0,0,0,0.887346010021,0.076633118972,115.872,47.352,0.005,0.004,-0.002,NaN,-0.020226,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,105,258,403,96,0,0,0,0,2,1
384550100,2355,1,0,0,0,0.887346010073,0.076633119072,115.870,47.352,0.003,0.002,-0.005,NaN,-0.020230,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,79,257,402,80,0,0,0,0,1,1
384550200,2355,1,0,0,0,0.887346010256,0.076633119220,115.873,47.352,0.001,0.001,-0.002,NaN,-0.020235,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,103,257,402,80,0,0,0,0,1,1
384550300,2355,1,0,0,0,0.887346010326,0.076633119341,115.873,47.352,0.000,0.000,0.002,NaN,-0.020239,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,87,257,402,80,0,0,0,0,1,1
384550400,2355,1,0,0,0,0.887346010478,0.076633119575,115.872,47.352,0.001,0.001,0.000,NaN,-0.020244,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,100,257,401,80,0,0,0,0,1,1
384550500,2355,1,0,0,0,0.887346010882,0.076633119586,115.872,47.352,0.003,0.000,-0.002,NaN,-0.020248,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,88,257,401,96,0,0,0,0,2,1
384550600,2355,1,0,0,0,0.887346010879,0.076633119590,115.872,47.352,0.004,-0.002,-0.002,NaN,-0.020253,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,98,257,401,80,0,0,0,0,1,1
384550700,2355,1,0,0,0,0.887346010649,0.076633119600,115.872,47.352,0.001,-0.001,-0.003,NaN,-0.020257,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,83,257,401,80,0,0,0,0,1,1
384550800,2355,1,0,0,0,0.887346010790,0.076633119650,115.873,47.352,-0.000,0.001,-0.003,NaN,-0.020262,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,99,257,401,80,0,0,0,0,1,1
384550900,2355,1,0,0,0,0.887346010805,0.076633119521,115.875,47.352,0.001,0.001,-0.004,NaN,-0.020266,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,80,258,402,80,0,0,0,0,1,1
384551000,2355,1,0,0,0,0.887346010646,0.076633119538,115.876,47.352,-0.000,-0.000,-0.003,NaN,-0.020271,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,106,258,403,96,0,0,0,0,2,1
384551100,2355,1,0,0,0,0.887346010899,0.076633119676,115.879,47.352,-0.001,0.001,-0.001,NaN,-0.020275,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,91,260,404,80,0,0,0,0,1,1
384551200,2355,1,0,0,0,0.887346010765,0.076633119653,115.881,47.352,-0.001,0.001,-0.000,NaN,-0.020280,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,102,260,406,80,0,0,0,0,1,1
384551300,2355,1,0,0,0,0.887346010770,0.076633119667,115.882,47.352,-0.004,-0.001,-0.003,NaN,-0.020284,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,94,261,407,80,0,0,0,0,1,1
384551400,2355,1,0,0,0,0.887346010871,0.076633119589,115.886,47.352,-0.003,-0.003,-0.003,NaN,-0.020289,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,104,261,407,80,0,0,0,0,1,1
384551500,2355,1,0,0,0,0.887346011049,0.076633119812,115.887,47.352,-0.001,-0.002,-0.002,NaN,-0.020293,-0.045,0,0,16,0,0,0,0,0,0,NaN,NaN,2228229,1,0,0,0,NaN,0,0,94,261,407,96,0,0,0,0,2,1
